timestamp_arrival,truck_id,tons
2023-01-01 07:10:00,T20230101_0,25.582166320312204
2023-01-01 16:14:00,T20230101_1,16.95371389162829
2023-01-02 14:44:00,T20230102_0,20.003881603301277
2023-01-02 15:33:00,T20230102_1,13.584243054037067
2023-01-02 13:13:00,T20230102_2,25.76781661424974
2023-01-02 10:43:00,T20230102_3,16.6900108578146
2023-01-03 06:18:00,T20230103_0,17.33957051592478
2023-01-03 08:21:00,T20230103_1,17.665757808415705
2023-01-03 13:42:00,T20230103_2,12.064951162187821
2023-01-03 13:47:00,T20230103_3,17.919163946183676
2023-01-03 13:17:00,T20230103_4,24.1147948635596
2023-01-03 09:41:00,T20230103_5,16.31312865407234
2023-01-04 09:00:00,T20230104_0,10.40734761899641
2023-01-04 14:04:00,T20230104_1,14.366274038526557
2023-01-04 12:38:00,T20230104_2,17.60659303561669
2023-01-05 17:44:00,T20230105_0,17.098188933243634
2023-01-05 07:36:00,T20230105_1,13.361670279408681
2023-01-06 07:30:00,T20230106_0,21.60415042340389
2023-01-06 06:38:00,T20230106_1,23.31110085748767
2023-01-06 07:43:00,T20230106_2,23.209331111537864
2023-01-06 06:42:00,T20230106_3,18.24871150855339
2023-01-06 13:55:00,T20230106_4,16.400568113458927
2023-01-06 16:37:00,T20230106_5,16.982249560784958
2023-01-07 12:00:00,T20230107_0,21.997613946470793
2023-01-07 14:49:00,T20230107_1,24.682715154826
2023-01-07 15:23:00,T20230107_2,15.795832198853226
